Krizia Houston Buck - UCA Summer 2017 - Graduate Project - Dr. Emre Celebi 

Time Result(s) - Image, Clusters, Initialization, Presentation Style, Learning Rate, SSE, MSE, MAE: (in seconds) 
2, 8, 2, 1, 1, 1050160998324, 2670697, 1066.83688863 - 110.513000011 * Output2_K8_RI_LPS_LR1.PNG
2, 8, 2, 1, 2, 5086743388334, 12936257, 2275.17926534 - 113.565999985 * Output2_K8_RI_LPS_LR2.PNG
2, 8, 2, 1, 3, 19443820051538, 49448191, 4163.27458191 - 116.463999987 * Output2_K8_RI_LPS_LR3.PNG
2, 8, 2, 2, 1, 945133841909, 2403599, 1040.60923513 - 138.387999773 * Output2_K8_RI_RPS_LR1.PNG
2, 8, 2, 2, 2, 814985077874, 2072614, 900.051040649 - 141.059000015 * Output2_K8_RI_RPS_LR2.PNG
2, 8, 2, 2, 3, 1274087657199, 3240172, 1233.15625254 - 145.769999981 * Output2_K8_RI_RPS_LR3.PNG
2, 8, 3, 1, 1, 2634887129576, 6700864, 1329.2189738 - 111.555000067 * Output2_K8_MCCI_LPS_LR1.PNG
2, 8, 3, 1, 2, 5019892233461, 12766246, 2126.64298248 - 116.003000021 * Output2_K8_MCCI_LPS_LR2.PNG
2, 8, 3, 1, 3, 19264674978133, 48992601, 4185.85702769 - 119.433999777 * Output2_K8_MCCI_LPS_LR3.PNG
2, 8, 3, 2, 1, 1001638395550, 2547298, 991.295033773 - 139.888000011 * Output2_K8_MCCI_RPS_LR1.PNG
2, 8, 3, 2, 2, 825824729478, 2100180, 926.528991699 - 143.170000076 * Output2_K8_MCCI_RPS_LR2.PNG
2, 8, 3, 2, 3, 996505470227, 2534244, 1117.06818899 - 148.05099988 * Output2_K8_MCCI_RPS_LR3.PNG
2, 8, 4, 1, 1, 678414055587, 1725296, 910.665184021 - 112.671999931 * Output2_K8_MI_LPS_LR1.PNG
2, 8, 4, 1, 2, 4983313321723, 12673221, 2119.37981415 - 117.434000015 * Output2_K8_MI_LPS_LR2.PNG
2, 8, 4, 1, 3, 19264674978133, 48992601, 4185.85702769 - 120.553999901 * Output2_K8_MI_LPS_LR3.PNG
2, 8, 4, 2, 1, 827697201472, 2104942, 924.439214071 - 140.808000088 * Output2_K8_MI_RPS_LR1.PNG
2, 8, 4, 2, 2, 854730174212, 2173691, 925.983062744 - 143.819000006 * Output2_K8_MI_RPS_LR2.PNG
2, 8, 4, 2, 3, 1290785514626, 3282637, 1292.42307536 - 148.220000029 * Output2_K8_MI_RPS_LR3.PNG
2, 16, 2, 1, 1, 361937722520, 920455, 578.254252116 - 174.835999966 * Output2_K16_RI_LPS_LR1.PNG
2, 16, 2, 1, 2, 3385038266237, 8608597, 1740.36861928 - 178.055000067 * Output2_K16_RI_LPS_LR2.PNG
2, 16, 2, 1, 3, 16121188439037, 40998302, 3283.77021535 - 182.359000206 * Output2_K16_RI_LPS_LR3.PNG
2, 16, 2, 2, 1, 301299284830, 766243, 548.442321777 - 202.822000027 * Output2_K16_RI_RPS_LR1.PNG
2, 16, 2, 2, 2, 350044564289, 890209, 573.132662455 - 208.643000126 * Output2_K16_RI_RPS_LR2.PNG
2, 16, 2, 2, 3, 551204053564, 1401784, 847.488642375 - 211.382999897 * Output2_K16_RI_RPS_LR3.PNG
2, 16, 3, 1, 1, 438915203927, 1116219, 567.103721619 - 174.518999815 * Output2_K16_MCCI_LPS_LR1.PNG
2, 16, 3, 1, 2, 1364737788371, 3470707, 1095.76180267 - 178.620999813 * Output2_K16_MCCI_LPS_LR2.PNG
2, 16, 3, 1, 3, 16121188439037, 40998302, 3283.77021535 - 182.397000074 * Output2_K16_MCCI_LPS_LR3.PNG
2, 16, 3, 2, 1, 240551596983, 611754, 468.812177022 - 203.191999912 * Output2_K16_MCCI_RPS_LR1.PNG
2, 16, 3, 2, 2, 206191660887, 524372, 423.691342672 - 206.234999895 * Output2_K16_MCCI_RPS_LR2.PNG
2, 16, 3, 2, 3, 251134027346, 638666, 555.120315552 - 211.812000036 * Output2_K16_MCCI_RPS_LR3.PNG
2, 16, 4, 1, 1, 241731358756, 614754, 465.050811768 - 179.537000179 * Output2_K16_MI_LPS_LR1.PNG
2, 16, 4, 1, 2, 1491942858065, 3794206, 1090.85650889 - 185.805000067 * Output2_K16_MI_LPS_LR2.PNG
2, 16, 4, 1, 3, 16121188439037, 40998302, 3283.77021535 - 187.107000113 * Output2_K16_MI_LPS_LR3.PNG
2, 16, 4, 2, 1, 234076617978, 595287, 449.067993164 - 205.921000004 * Output2_K16_MI_RPS_LR1.PNG
2, 16, 4, 2, 2, 207956743885, 528861, 428.699724833 - 208.544000149 * Output2_K16_MI_RPS_LR2.PNG
2, 16, 4, 2, 3, 273279178134, 694984, 634.178202311 - 213.777999878 * Output2_K16_MI_RPS_LR3.PNG
2, 32, 2, 1, 1, 129477010932, 329277, 334.576466878 - 304.242000103 * Output2_K32_RI_LPS_LR1.PNG
2, 32, 2, 1, 2, 851207723104, 2164733, 828.530029297 - 314.483999968 * Output2_K32_RI_LPS_LR2.PNG
2, 32, 2, 1, 3, 7897430905981, 20084205, 2234.20697276 - 325.244999886 * Output2_K32_RI_LPS_LR3.PNG
