Krizia Houston Buck - UCA Summer 2017 - Graduate Project - Dr. Emre Celebi 

Time Result(s) - Image, Clusters, Initialization, Presentation Style, Learning Rate, SSE, MSE, MAE: (in seconds) 
1, 8, 2, 1, 1, 947082280056, 2408554, 770.655802409 - 111.082999945 * Output1_K8_RI_LPS_LR1.PNG
1, 8, 2, 1, 2, 1705760706588, 4337973, 1125.023585 - 114.645999908 * Output1_K8_RI_LPS_LR2.PNG
1, 8, 2, 1, 3, 1908004215364, 4852305, 1413.61546326 - 118.375 * Output1_K8_RI_LPS_LR3.PNG
1, 8, 2, 2, 1, 1073620186548, 2730357, 999.471323649 - 136.606999874 * Output1_K8_RI_RPS_LR1.PNG
1, 8, 2, 2, 2, 632174338796, 1607702, 676.693094889 - 140.90899992 * Output1_K8_RI_RPS_LR2.PNG
1, 8, 2, 2, 3, 797734769672, 2028744, 916.551183065 - 145.419999838 * Output1_K8_RI_RPS_LR3.PNG
1, 8, 3, 1, 1, 897303158041, 2281959, 726.451377869 - 112.234999895 * Output1_K8_MCCI_LPS_LR1.PNG
1, 8, 3, 1, 2, 1334123381545, 3392851, 1049.94510651 - 116.292999983 * Output1_K8_MCCI_LPS_LR2.PNG
1, 8, 3, 1, 3, 2145101229348, 5455274, 1436.22762553 - 119.743999958 * Output1_K8_MCCI_LPS_LR3.PNG
1, 8, 3, 2, 1, 634145979962, 1612716, 677.488835653 - 140.748000145 * Output1_K8_MCCI_RPS_LR1.PNG
1, 8, 3, 2, 2, 625565466098, 1590895, 676.266616821 - 143.141000032 * Output1_K8_MCCI_RPS_LR2.PNG
1, 8, 3, 2, 3, 814465510682, 2071292, 986.059295654 - 147.619999886 * Output1_K8_MCCI_RPS_LR3.PNG
1, 8, 4, 1, 1, 592135514631, 1505878, 686.515408834 - 112.672999859 * Output1_K8_MI_LPS_LR1.PNG
1, 8, 4, 1, 2, 1328891378216, 3379545, 1049.59052531 - 118.042999983 * Output1_K8_MI_LPS_LR2.PNG
1, 8, 4, 1, 3, 2145101229348, 5455274, 1436.22762553 - 120.963999987 * Output1_K8_MI_LPS_LR3.PNG
1, 8, 4, 2, 1, 588621096535, 1496940, 694.472297668 - 140.969000101 * Output1_K8_MI_RPS_LR1.PNG
1, 8, 4, 2, 2, 629079598041, 1599832, 677.138872782 - 144.059000015 * Output1_K8_MI_RPS_LR2.PNG
1, 8, 4, 2, 3, 898484510400, 2284964, 900.237065633 - 148.799999952 * Output1_K8_MI_RPS_LR3.PNG
1, 16, 2, 1, 1, 219803504907, 558989, 459.373853048 - 173.365999937 * Output1_K16_RI_LPS_LR1.PNG
1, 16, 2, 1, 2, 720018987125, 1831102, 725.966529846 - 178.955000162 * Output1_K16_RI_LPS_LR2.PNG
1, 16, 2, 1, 3, 1582747107313, 4025134, 1172.14470164 - 182.759000063 * Output1_K16_RI_LPS_LR3.PNG
1, 16, 2, 2, 1, 277226932683, 705024, 443.001116435 - 202.881999969 * Output1_K16_RI_RPS_LR1.PNG
1, 16, 2, 2, 2, 178522249969, 454005, 376.986534119 - 205.621999979 * Output1_K16_RI_RPS_LR2.PNG
1, 16, 2, 2, 3, 407675271330, 1036771, 605.508733114 - 211.23300004 * Output1_K16_RI_RPS_LR3.PNG
1, 16, 3, 1, 1, 472705659914, 1202152, 471.402064006 - 175.220000029 * Output1_K16_MCCI_LPS_LR1.PNG
1, 16, 3, 1, 2, 463955216429, 1179899, 546.871620178 - 179.269000053 * Output1_K16_MCCI_LPS_LR2.PNG
1, 16, 3, 1, 3, 1555840614850, 3956707, 1155.6505483 - 182.219000101 * Output1_K16_MCCI_LPS_LR3.PNG
1, 16, 3, 2, 1, 414355415499, 1053760, 460.860796611 - 203.101999998 * Output1_K16_MCCI_RPS_LR1.PNG
1, 16, 3, 2, 2, 189547006120, 482042, 364.442626953 - 206.315000057 * Output1_K16_MCCI_RPS_LR2.PNG
1, 16, 3, 2, 3, 205638542572, 522965, 450.2102712 - 210.861999989 * Output1_K16_MCCI_RPS_LR3.PNG
1, 16, 4, 1, 1, 182042431060, 462957, 417.06165568 - 178.926000118 * Output1_K16_MI_LPS_LR1.PNG
1, 16, 4, 1, 2, 406229609129, 1033095, 555.267819722 - 184.825000048 * Output1_K16_MI_LPS_LR2.PNG
1, 16, 4, 1, 3, 1555840614850, 3956707, 1155.6505483 - 185.707000017 * Output1_K16_MI_LPS_LR3.PNG
1, 16, 4, 2, 1, 162225867985, 412561, 360.008700053 - 205.041000128 * Output1_K16_MI_RPS_LR1.PNG
1, 16, 4, 2, 2, 189754764637, 482571, 381.914166768 - 208.083999872 * Output1_K16_MI_RPS_LR2.PNG
1, 16, 4, 2, 3, 212205160516, 539665, 459.835606893 - 212.128000021 * Output1_K16_MI_RPS_LR3.PNG
1, 32, 2, 1, 1, 105779439161, 269011, 285.936007182 - 302.33100009 * Output1_K32_RI_LPS_LR1.PNG
1, 32, 2, 1, 2, 152754887419, 388475, 332.089108785 - 318.90500021 * Output1_K32_RI_LPS_LR2.PNG
1, 32, 2, 1, 3, 733105172289, 1864382, 504.934328715 - 316.554000139 * Output1_K32_RI_LPS_LR3.PNG
1, 32, 2, 2, 1, 61065068929, 155296, 232.16280365 - 386.440000057 * Output1_K32_RI_RPS_LR1.PNG
1, 32, 2, 2, 2, 65130875280, 165636, 220.072647095 - 392.898000002 * Output1_K32_RI_RPS_LR2.PNG
1, 32, 2, 2, 3, 92110296721, 234248, 319.885195414 - 400.861999989 * Output1_K32_RI_RPS_LR3.PNG
1, 32, 3, 1, 1, 132222666316, 336259, 275.699350993 - 305.211000204 * Output1_K32_MCCI_LPS_LR1.PNG
1, 32, 3, 1, 2, 104349348480, 265374, 258.845372518 - 309.743000031 * Output1_K32_MCCI_LPS_LR2.PNG
1, 32, 3, 1, 3, 318640512868, 810344, 405.61000061 - 314.204999924 * Output1_K32_MCCI_LPS_LR3.PNG
1, 32, 3, 2, 1, 116950317908, 297420, 270.761912028 - 366.457000017 * Output1_K32_MCCI_RPS_LR1.PNG
1, 32, 3, 2, 2, 53188658871, 135265, 188.130719503 - 379.286999941 * Output1_K32_MCCI_RPS_LR2.PNG
1, 32, 3, 2, 3, 65341743877, 166172, 241.311373393 - 389.019000053 * Output1_K32_MCCI_RPS_LR3.PNG
1, 32, 4, 1, 1, 49534390615, 125972, 221.595578512 - 341.058000088 * Output1_K32_MI_LPS_LR1.PNG
1, 32, 4, 1, 2, 95266374325, 242274, 259.079694112 - 319.664999962 * Output1_K32_MI_LPS_LR2.PNG
1, 32, 4, 1, 3, 329090693001, 836920, 407.112632751 - 347.718999863 * Output1_K32_MI_LPS_LR3.PNG
1, 32, 4, 2, 1, 51531854854, 131052, 218.709986369 - 385.05099988 * Output1_K32_MI_RPS_LR1.PNG
1, 32, 4, 2, 2, 49582112221, 126093, 194.705858866 - 384.398999929 * Output1_K32_MI_RPS_LR2.PNG
1, 32, 4, 2, 3, 78243401574, 198983, 259.868148804 - 395.804000139 * Output1_K32_MI_RPS_LR3.PNG
1, 64, 2, 1, 1, 27872186993, 70882, 168.259630839 - 589.229000092 * Output1_K64_RI_LPS_LR1.PNG
1, 64, 2, 1, 2, 82953105540, 210960, 202.290964762 - 604.605000019 * Output1_K64_RI_LPS_LR2.PNG
