Krizia Houston Buck - UCA Summer 2017 - Graduate Project - Dr. Emre Celebi 

Time Result(s) - Image, Clusters, Initialization, Presentation Style, Learning Rate, SSE, MSE, MAE: (in seconds) 
5, 32, 4, 1, 1, 40918454466, 104061, 162.891571045 - 322.57400012 * Output5_K32_MI_LPS_LR1.PNG
5, 32, 4, 1, 2, 1231234615503, 3131191, 639.664344788 - 318.414000034 * Output5_K32_MI_LPS_LR2.PNG
5, 32, 4, 1, 3, 1666366354940, 4237788, 1072.11795044 - 336.056999922 * Output5_K32_MI_LPS_LR3.PNG
5, 32, 4, 2, 1, 37865282129, 96296, 167.366650899 - 380.830000162 * Output5_K32_MI_RPS_LR1.PNG
5, 32, 4, 2, 2, 41870623559, 106482, 161.180051168 - 373.315999985 * Output5_K32_MI_RPS_LR2.PNG
5, 32, 4, 2, 3, 62638643181, 159298, 219.533561707 - 393.315000057 * Output5_K32_MI_RPS_LR3.PNG
5, 64, 2, 1, 1, 22787865216, 57952, 121.491251628 - 608.592000008 * Output5_K64_RI_LPS_LR1.PNG
5, 64, 2, 1, 2, 740939150824, 1884305, 447.80027771 - 627.390000105 * Output5_K64_RI_LPS_LR2.PNG
5, 64, 2, 1, 3, 1782389683590, 4532851, 970.734568278 - 637.532000065 * Output5_K64_RI_LPS_LR3.PNG
5, 64, 2, 2, 1, 34714262721, 88282, 154.658627828 - 702.453999996 * Output5_K64_RI_RPS_LR1.PNG
5, 64, 2, 2, 2, 35495657274, 90270, 144.554275513 - 707.703000069 * Output5_K64_RI_RPS_LR2.PNG
5, 64, 2, 2, 3, 24781645926, 63022, 152.218292236 - 709.703000069 * Output5_K64_RI_RPS_LR3.PNG
5, 64, 3, 1, 1, 83067825875, 211252, 165.638791402 - 594.500999928 * Output5_K64_MCCI_LPS_LR1.PNG
5, 64, 3, 1, 2, 223182547988, 567582, 251.139216105 - 599.599999905 * Output5_K64_MCCI_LPS_LR2.PNG
5, 64, 3, 1, 3, 793902163465, 2018997, 617.111132304 - 606.565999985 * Output5_K64_MCCI_LPS_LR3.PNG
5, 64, 3, 2, 1, 68925946064, 175287, 144.713531494 - 657.773000002 * Output5_K64_MCCI_RPS_LR1.PNG
5, 64, 3, 2, 2, 25746308478, 65476, 90.3165537516 - 657.467999935 * Output5_K64_MCCI_RPS_LR2.PNG
5, 64, 3, 2, 3, 14981100089, 38098, 105.136812846 - 683.76699996 * Output5_K64_MCCI_RPS_LR3.PNG
5, 64, 4, 1, 1, 10670096910, 27135, 89.0809224447 - 625.25999999 * Output5_K64_MI_LPS_LR1.PNG
5, 64, 4, 1, 2, 335971329039, 854419, 292.89440155 - 609.655999899 * Output5_K64_MI_LPS_LR2.PNG
5, 64, 4, 1, 3, 849075781583, 2159311, 629.749905904 - 644.11500001 * Output5_K64_MI_LPS_LR3.PNG
5, 64, 4, 2, 1, 10440146347, 26550, 89.3550338745 - 677.611999989 * Output5_K64_MI_RPS_LR1.PNG
5, 64, 4, 2, 2, 10727854561, 27282, 81.5506312052 - 665.81799984 * Output5_K64_MI_RPS_LR2.PNG
5, 64, 4, 2, 3, 18320387206, 46591, 118.348424276 - 690.703999996 * Output5_K64_MI_RPS_LR3.PNG
5, 128, 2, 1, 1, 11049561680, 28100, 85.9261220296 - 1153.53999996 * Output5_K128_RI_LPS_LR1.PNG
5, 128, 2, 1, 2, 103166665272, 262366, 188.654342651 - 1142.56000018 * Output5_K128_RI_LPS_LR2.PNG
5, 128, 2, 1, 3, 729059644250, 1854094, 616.269104004 - 1152.66600013 * Output5_K128_RI_LPS_LR3.PNG
5, 128, 2, 2, 1, 14300636707, 36368, 97.8002446493 - 1294.33100009 * Output5_K128_RI_RPS_LR1.PNG
5, 128, 2, 2, 2, 10381027304, 26400, 81.6277008057 - 1310.51900005 * Output5_K128_RI_RPS_LR2.PNG
5, 128, 2, 2, 3, 11462315173, 29150, 91.6572443644 - 1306.73200011 * Output5_K128_RI_RPS_LR3.PNG
5, 128, 3, 1, 1, 32049473832, 81506, 90.9315897624 - 1161.78900003 * Output5_K128_MCCI_LPS_LR1.PNG
5, 128, 3, 1, 2, 18188939350, 46256, 83.9077809652 - 1151.26099992 * Output5_K128_MCCI_LPS_LR2.PNG
5, 128, 3, 1, 3, 108129972698, 274988, 308.300999959 - 1174.88699985 * Output5_K128_MCCI_LPS_LR3.PNG
5, 128, 3, 2, 1, 50361673786, 128076, 111.870488485 - 1199.27699995 * Output5_K128_MCCI_RPS_LR1.PNG
5, 128, 3, 2, 2, 6624288113, 16846, 46.4973831177 - 1218.58500004 * Output5_K128_MCCI_RPS_LR2.PNG
5, 128, 3, 2, 3, 3594438094, 9141, 51.636332194 - 1266.16400003 * Output5_K128_MCCI_RPS_LR3.PNG
5, 128, 4, 1, 1, 2615981221, 6652, 46.6713994344 - 1237.04399991 * Output5_K128_MI_LPS_LR1.PNG
5, 128, 4, 1, 2, 18165811821, 46198, 85.1843185425 - 1185.43799996 * Output5_K128_MI_LPS_LR2.PNG
5, 128, 4, 1, 3, 207231243799, 527016, 367.435869853 - 1252.90100002 * Output5_K128_MI_LPS_LR3.PNG
5, 128, 4, 2, 1, 2813682917, 7155, 50.7792485555 - 1281.36199999 * Output5_K128_MI_RPS_LR1.PNG
5, 128, 4, 2, 2, 2941395267, 7480, 39.2306900024 - 1269.69900012 * Output5_K128_MI_RPS_LR2.PNG
5, 128, 4, 2, 3, 3811527893, 9693, 52.8961766561 - 1292.07800007 * Output5_K128_MI_RPS_LR3.PNG
5, 256, 2, 1, 1, 2830664295, 7198, 45.8724746704 - 2321.77100015 * Output5_K256_RI_LPS_LR1.PNG
5, 256, 2, 1, 2, 22217015901, 56500, 89.0155105591 - 2354.96000004 * Output5_K256_RI_LPS_LR2.PNG
5, 256, 2, 1, 3, 143122047887, 363978, 346.153541565 - 2267.63300014 * Output5_K256_RI_LPS_LR3.PNG
5, 256, 2, 2, 1, 5158923254, 13119, 64.7055155436 - 2484.08700013 * Output5_K256_RI_RPS_LR1.PNG
5, 256, 2, 2, 2, 3601061466, 9157, 45.4768625895 - 2524.18000007 * Output5_K256_RI_RPS_LR2.PNG
5, 256, 2, 2, 3, 4606175686, 11714, 53.6871795654 - 2521.37399983 * Output5_K256_RI_RPS_LR3.PNG
5, 256, 3, 1, 1, 23051861365, 58623, 66.330716451 - 2247.65299988 * Output5_K256_MCCI_LPS_LR1.PNG
5, 256, 3, 1, 2, 9811669820, 24952, 53.6611277262 - 2239.35500002 * Output5_K256_MCCI_LPS_LR2.PNG
5, 256, 3, 1, 3, 29731856240, 75612, 143.643386841 - 2212.46199989 * Output5_K256_MCCI_LPS_LR3.PNG
5, 256, 3, 2, 1, 25155466453, 63973, 74.4535140991 - 2280.31599998 * Output5_K256_MCCI_RPS_LR1.PNG
5, 256, 3, 2, 2, 2393100159, 6085, 27.5488154093 - 2290.30199981 * Output5_K256_MCCI_RPS_LR2.PNG
5, 256, 3, 2, 3, 1530360143, 3891, 29.2126642863 - 2395.93300009 * Output5_K256_MCCI_RPS_LR3.PNG
5, 256, 4, 1, 1, 840381520, 2137, 28.121383667 - 2460.77699995 * Output5_K256_MI_LPS_LR1.PNG
5, 256, 4, 1, 2, 5350413683, 13606, 47.9567693075 - 2342.35600019 * Output5_K256_MI_LPS_LR2.PNG
5, 256, 4, 1, 3, 30737697512, 78170, 164.991129557 - 2454.05700016 * Output5_K256_MI_LPS_LR3.PNG
5, 256, 4, 2, 1, 844590641, 2147, 28.4613164266 - 2513.72300005 * Output5_K256_MI_RPS_LR1.PNG
5, 256, 4, 2, 2, 1002305915, 2548, 23.6173273722 - 2473.14399981 * Output5_K256_MI_RPS_LR2.PNG
5, 256, 4, 2, 3, 1127180394, 2866, 28.6898295085 - 2495.07800007 * Output5_K256_MI_RPS_LR3.PNG

Average of 108 run(s) in seconds: 
822.332638895
Average of 108 run(s) in minutes: 
13.7055439816
