Krizia Houston Buck - UCA Summer 2017 - Graduate Project - Dr. Emre Celebi 

Time Result(s) - Image, Clusters, Initialization, Presentation Style, Learning Rate, SSE, MSE, MAE: (in seconds) 
4, 8, 2, 1, 1, 323058138374, 821579, 556.909535726 - 110.613999844 * Output4_K8_RI_LPS_LR1.PNG
4, 8, 2, 1, 2, 865385728440, 2200789, 1033.3438975 - 113.273999929 * Output4_K8_RI_LPS_LR2.PNG
4, 8, 2, 1, 3, 6294874747380, 16008694, 2502.1930542 - 116.924000025 * Output4_K8_RI_LPS_LR3.PNG
4, 8, 2, 2, 1, 508566014986, 1293350, 668.871810913 - 137.307999849 * Output4_K8_RI_RPS_LR1.PNG
4, 8, 2, 2, 2, 545216568095, 1386557, 615.394060771 - 141.059000015 * Output4_K8_RI_RPS_LR2.PNG
4, 8, 2, 2, 3, 493003806548, 1253773, 769.889333089 - 145.480000019 * Output4_K8_RI_RPS_LR3.PNG
4, 8, 3, 1, 1, 763877476255, 1942640, 630.637692769 - 111.685000181 * Output4_K8_MCCI_LPS_LR1.PNG
4, 8, 3, 1, 2, 670692604284, 1705659, 886.043833415 - 115.182999849 * Output4_K8_MCCI_LPS_LR2.PNG
4, 8, 3, 1, 3, 5413256780178, 13766623, 2174.22365824 - 119.424000025 * Output4_K8_MCCI_LPS_LR3.PNG
4, 8, 3, 2, 1, 537341608032, 1366530, 577.265345256 - 140.128000021 * Output4_K8_MCCI_RPS_LR1.PNG
4, 8, 3, 2, 2, 371627004862, 945096, 541.709055583 - 143.24000001 * Output4_K8_MCCI_RPS_LR2.PNG
4, 8, 3, 2, 3, 428805637606, 1090509, 651.107254028 - 147.260999918 * Output4_K8_MCCI_RPS_LR3.PNG
4, 8, 4, 1, 1, 421534365350, 1072017, 544.120351156 - 112.202000141 * Output4_K8_MI_LPS_LR1.PNG
4, 8, 4, 1, 2, 686323776072, 1745411, 880.394429525 - 116.683000088 * Output4_K8_MI_LPS_LR2.PNG
4, 8, 4, 1, 3, 5413256780178, 13766623, 2174.22365824 - 120.364000082 * Output4_K8_MI_LPS_LR3.PNG
4, 8, 4, 2, 1, 523264977082, 1330731, 567.553685506 - 139.868000031 * Output4_K8_MI_RPS_LR1.PNG
