Krizia Houston Buck - UCA Summer 2017 - Graduate Project - Dr. Emre Celebi 

Time Result(s) - Image, Clusters, Initialization, Presentation Style, Learning Rate, SSE, MSE, MAE: (in seconds) 
7, 8, 2, 1, 1, 609803627996, 2326216, 1128.12731171 - 74.0069999695 * Output7_K8_RI_LPS_LR1.PNG
7, 8, 2, 1, 2, 3343703453716, 12755216, 2746.94989777 - 76.2380001545 * Output7_K8_RI_LPS_LR2.PNG
7, 8, 2, 1, 3, 10476173642016, 39963430, 4116.49533081 - 78.7760000229 * Output7_K8_RI_LPS_LR3.PNG
7, 8, 2, 2, 1, 616399590967, 2351377, 1118.44340897 - 92.0390000343 * Output7_K8_RI_RPS_LR1.PNG
7, 8, 2, 2, 2, 723209308539, 2758824, 1237.67181778 - 94.888999939 * Output7_K8_RI_RPS_LR2.PNG
7, 8, 2, 2, 3, 949239406018, 3621060, 1486.11174011 - 97.4210000038 * Output7_K8_RI_RPS_LR3.PNG
7, 8, 3, 1, 1, 638937868137, 2437354, 1136.23147202 - 74.7550001144 * Output7_K8_MCCI_LPS_LR1.PNG
7, 8, 3, 1, 2, 3044858380686, 11615212, 2564.90856934 - 76.6850001812 * Output7_K8_MCCI_LPS_LR2.PNG
7, 8, 3, 1, 3, 10476173642016, 39963430, 4116.49533081 - 80.5869998932 * Output7_K8_MCCI_LPS_LR3.PNG
7, 8, 3, 2, 1, 631310944871, 2408260, 1132.7142601 - 93.871999979 * Output7_K8_MCCI_RPS_LR1.PNG
7, 8, 3, 2, 2, 612847392643, 2337827, 1119.68532181 - 95.6990001202 * Output7_K8_MCCI_RPS_LR2.PNG
7, 8, 3, 2, 3, 1196229207013, 4563252, 1560.24914932 - 99.5 * Output7_K8_MCCI_RPS_LR3.PNG
7, 8, 4, 1, 1, 639488483216, 2439454, 1132.16431427 - 79.2449998856 * Output7_K8_MI_LPS_LR1.PNG
7, 8, 4, 1, 2, 3013377039937, 11495121, 2548.80983353 - 81.9270000458 * Output7_K8_MI_LPS_LR2.PNG
7, 8, 4, 1, 3, 10476173642016, 39963430, 4116.49533081 - 83.8869998455 * Output7_K8_MI_LPS_LR3.PNG
7, 8, 4, 2, 1, 605716027957, 2310623, 1129.7158165 - 98.5699999332 * Output7_K8_MI_RPS_LR1.PNG
7, 8, 4, 2, 2, 612246836427, 2335536, 1120.90906906 - 100.370999813 * Output7_K8_MI_RPS_LR2.PNG
7, 8, 4, 2, 3, 1094469187847, 4175068, 1462.38651657 - 103.730999947 * Output7_K8_MI_RPS_LR3.PNG
7, 16, 2, 1, 1, 223087539743, 851011, 676.910839081 - 117.182999849 * Output7_K16_RI_LPS_LR1.PNG
7, 16, 2, 1, 2, 1514850215671, 5778694, 1654.54527664 - 120.164000034 * Output7_K16_RI_LPS_LR2.PNG
7, 16, 2, 1, 3, 4226456795258, 16122653, 2611.82780457 - 123.13499999 * Output7_K16_RI_LPS_LR3.PNG
7, 16, 2, 2, 1, 266342861732, 1016017, 747.481811523 - 137.246999979 * Output7_K16_RI_RPS_LR1.PNG
7, 16, 2, 2, 2, 242538917480, 925212, 699.857223511 - 139.299000025 * Output7_K16_RI_RPS_LR2.PNG
7, 16, 2, 2, 3, 322068134475, 1228592, 828.600406647 - 141.119000196 * Output7_K16_RI_RPS_LR3.PNG
7, 16, 3, 1, 1, 222036108171, 847000, 667.506732941 - 116.693000078 * Output7_K16_MCCI_LPS_LR1.PNG
