Krizia Houston Buck - UCA Summer 2017 - Graduate Project - Dr. Emre Celebi 

Time Result(s) - Image, Clusters, Initialization, Presentation Style, Learning Rate, SSE, MSE, MAE: (in seconds) 
6, 8, 2, 1, 1, 143245834010, 546439, 526.768997192 - 73.2409999371 * Output6_K8_RI_LPS_LR1.PNG
6, 8, 2, 1, 2, 312667446383, 1192731, 741.454280853 - 75.2580001354 * Output6_K8_RI_LPS_LR2.PNG
6, 8, 2, 1, 3, 5537773106419, 21124927, 2692.04943466 - 78.7650001049 * Output6_K8_RI_LPS_LR3.PNG
6, 8, 2, 2, 1, 398308637000, 1519426, 819.227729797 - 90.7899999619 * Output6_K8_RI_RPS_LR1.PNG
6, 8, 2, 2, 2, 402712639099, 1536226, 820.089336395 - 94.1480000019 * Output6_K8_RI_RPS_LR2.PNG
6, 8, 2, 2, 3, 345951014821, 1319698, 806.933742523 - 96.9210000038 * Output6_K8_RI_RPS_LR3.PNG
6, 8, 3, 1, 1, 108543330292, 414059, 454.597198486 - 74.5840001106 * Output6_K8_MCCI_LPS_LR1.PNG
6, 8, 3, 1, 2, 105090133021, 400887, 485.561290741 - 76.7660000324 * Output6_K8_MCCI_LPS_LR2.PNG
6, 8, 3, 1, 3, 5531018480520, 21099161, 2680.77947998 - 80.8070001602 * Output6_K8_MCCI_LPS_LR3.PNG
6, 8, 3, 2, 1, 108931891673, 415542, 453.899272919 - 93.381000042 * Output6_K8_MCCI_RPS_LR1.PNG
6, 8, 3, 2, 2, 110854790328, 422877, 455.474517822 - 95.138999939 * Output6_K8_MCCI_RPS_LR2.PNG
6, 8, 3, 2, 3, 162964376467, 621659, 537.202365875 - 98.4200000763 * Output6_K8_MCCI_RPS_LR3.PNG
6, 8, 4, 1, 1, 114409447559, 436437, 471.382419586 - 78.256000042 * Output6_K8_MI_LPS_LR1.PNG
6, 8, 4, 1, 2, 125079200712, 477139, 529.071815491 - 80.4360001087 * Output6_K8_MI_LPS_LR2.PNG
