Krizia Houston Buck - UCA Summer 2017 - Graduate Project - Dr. Emre Celebi 

Time Result(s) - Image, Clusters, Initialization, Presentation Style, Learning Rate, SSE, MSE, MAE: (in seconds) 
8, 8, 2, 1, 1, 1472596925311, 5617511, 1615.72002792 - 73.9570000172 * Output8_K8_RI_LPS_LR1.PNG
8, 8, 2, 1, 2, 3223676067013, 12297348, 2306.54562759 - 76.4979999065 * Output8_K8_RI_LPS_LR2.PNG
8, 8, 2, 1, 3, 45409935672220, 173225157, 7596.8055954 - 78.5859999657 * Output8_K8_RI_LPS_LR3.PNG
8, 8, 2, 2, 1, 352049619436, 1342962, 765.217948914 - 92.3190000057 * Output8_K8_RI_RPS_LR1.PNG
8, 8, 2, 2, 2, 516999390184, 1972196, 964.375167847 - 94.1689999104 * Output8_K8_RI_RPS_LR2.PNG
8, 8, 2, 2, 3, 657898628830, 2509684, 1069.9854126 - 97.2100000381 * Output8_K8_RI_RPS_LR3.PNG
8, 8, 3, 1, 1, 524054713748, 1999110, 1022.24983978 - 74.9550001621 * Output8_K8_MCCI_LPS_LR1.PNG
8, 8, 3, 1, 2, 1696580876808, 6471942, 1793.76213074 - 76.8650000095 * Output8_K8_MCCI_LPS_LR2.PNG
8, 8, 3, 1, 3, 3840937249747, 14652012, 2981.50082779 - 80.989000082 * Output8_K8_MCCI_LPS_LR3.PNG
8, 8, 3, 2, 1, 703212874989, 2682544, 1036.5103569 - 93.7999999523 * Output8_K8_MCCI_RPS_LR1.PNG
8, 8, 3, 2, 2, 338307971062, 1290542, 765.564956665 - 95.5490000248 * Output8_K8_MCCI_RPS_LR2.PNG
8, 8, 3, 2, 3, 740182390483, 2823571, 1185.9367485 - 99.1000001431 * Output8_K8_MCCI_RPS_LR3.PNG
8, 8, 4, 1, 1, 509809778974, 1944769, 965.510925293 - 78.3459999561 * Output8_K8_MI_LPS_LR1.PNG
8, 8, 4, 1, 2, 1749542393356, 6673974, 1812.45317078 - 81.1660001278 * Output8_K8_MI_LPS_LR2.PNG
8, 8, 4, 1, 3, 3840937249747, 14652012, 2981.50082779 - 83.5669999123 * Output8_K8_MI_LPS_LR3.PNG
8, 8, 4, 2, 1, 479450516989, 1828958, 947.172496796 - 97.6710000038 * Output8_K8_MI_RPS_LR1.PNG
8, 8, 4, 2, 2, 493601194088, 1882939, 949.46370697 - 99.3910000324 * Output8_K8_MI_RPS_LR2.PNG
8, 8, 4, 2, 3, 886214229413, 3380638, 1316.55121994 - 102.609999895 * Output8_K8_MI_RPS_LR3.PNG
8, 16, 2, 1, 1, 208993623301, 797247, 582.391811371 - 116.892999887 * Output8_K16_RI_LPS_LR1.PNG
8, 16, 2, 1, 2, 205197449483, 782766, 646.053653717 - 119.354000092 * Output8_K16_RI_LPS_LR2.PNG
8, 16, 2, 1, 3, 5857730571320, 22345468, 3239.99259186 - 121.955000162 * Output8_K16_RI_LPS_LR3.PNG
8, 16, 2, 2, 1, 107808217305, 411255, 436.560810089 - 135.417000055 * Output8_K16_RI_RPS_LR1.PNG
8, 16, 2, 2, 2, 141981328275, 541615, 519.499759674 - 139.017999887 * Output8_K16_RI_RPS_LR2.PNG
8, 16, 2, 2, 3, 203670498044, 776941, 632.334709167 - 140.91899991 * Output8_K16_RI_RPS_LR3.PNG
8, 16, 3, 1, 1, 181786257635, 693459, 559.867961884 - 116.904000044 * Output8_K16_MCCI_LPS_LR1.PNG
8, 16, 3, 1, 2, 203607544179, 776701, 648.481563568 - 119.663000107 * Output8_K16_MCCI_LPS_LR2.PNG
8, 16, 3, 1, 3, 3278419860814, 12506179, 2457.9020462 - 122.446000099 * Output8_K16_MCCI_LPS_LR3.PNG
8, 16, 3, 2, 1, 237541989845, 906150, 582.13022995 - 135.759000063 * Output8_K16_MCCI_RPS_LR1.PNG
8, 16, 3, 2, 2, 109647968910, 418273, 395.848152161 - 138.477999926 * Output8_K16_MCCI_RPS_LR2.PNG
8, 16, 3, 2, 3, 132504212934, 505463, 490.968864441 - 141.099999905 * Output8_K16_MCCI_RPS_LR3.PNG
8, 16, 4, 1, 1, 112278929123, 428310, 468.448833466 - 126.535000086 * Output8_K16_MI_LPS_LR1.PNG
8, 16, 4, 1, 2, 255650203620, 975228, 719.474723816 - 129.207000017 * Output8_K16_MI_LPS_LR2.PNG
8, 16, 4, 1, 3, 3278419860814, 12506179, 2457.9020462 - 131.205999851 * Output8_K16_MI_LPS_LR3.PNG
8, 16, 4, 2, 1, 103113024994, 393344, 435.866355896 - 145.124000072 * Output8_K16_MI_RPS_LR1.PNG
8, 16, 4, 2, 2, 118463478437, 451902, 473.459690094 - 148.344000101 * Output8_K16_MI_RPS_LR2.PNG
8, 16, 4, 2, 3, 155697062102, 593937, 541.23525238 - 151.551000118 * Output8_K16_MI_RPS_LR3.PNG
8, 32, 2, 1, 1, 59023324670, 225156, 325.610336304 - 203.851999998 * Output8_K32_RI_LPS_LR1.PNG
8, 32, 2, 1, 2, 96604217169, 368515, 435.291866302 - 212.615999937 * Output8_K32_RI_LPS_LR2.PNG
8, 32, 2, 1, 3, 1279216857247, 4879825, 1524.14289474 - 218.264000177 * Output8_K32_RI_LPS_LR3.PNG
8, 32, 2, 2, 1, 35416887499, 135104, 258.869976044 - 255.661999941 * Output8_K32_RI_RPS_LR1.PNG
8, 32, 2, 2, 2, 59618046196, 227424, 324.880134583 - 262.629999876 * Output8_K32_RI_RPS_LR2.PNG
8, 32, 2, 2, 3, 58973164035, 224964, 359.497959137 - 262.611999989 * Output8_K32_RI_RPS_LR3.PNG
8, 32, 3, 1, 1, 140763234030, 536969, 464.592689514 - 208.593999863 * Output8_K32_MCCI_LPS_LR1.PNG
8, 32, 3, 1, 2, 77254928307, 294704, 378.382022858 - 222.799999952 * Output8_K32_MCCI_LPS_LR2.PNG
8, 32, 3, 1, 3, 408643230511, 1558850, 846.390239716 - 228.27699995 * Output8_K32_MCCI_LPS_LR3.PNG
8, 32, 3, 2, 1, 171438746495, 653986, 494.266857147 - 247.559999943 * Output8_K32_MCCI_RPS_LR1.PNG
8, 32, 3, 2, 2, 29473289122, 112431, 227.355895996 - 250.019999981 * Output8_K32_MCCI_RPS_LR2.PNG
8, 32, 3, 2, 3, 47173993546, 179954, 300.827949524 - 261.94299984 * Output8_K32_MCCI_RPS_LR3.PNG
8, 32, 4, 1, 1, 33649105206, 128361, 249.199058533 - 251.121999979 * Output8_K32_MI_LPS_LR1.PNG
8, 32, 4, 1, 2, 75344947325, 287418, 388.859920502 - 239.069000006 * Output8_K32_MI_LPS_LR2.PNG
8, 32, 4, 1, 3, 1029594573935, 3927591, 1115.06747055 - 257.390999794 * Output8_K32_MI_LPS_LR3.PNG
8, 32, 4, 2, 1, 33154979285, 126476, 250.158664703 - 276.917000055 * Output8_K32_MI_RPS_LR1.PNG
8, 32, 4, 2, 2, 32993163323, 125858, 245.682941437 - 273.095000029 * Output8_K32_MI_RPS_LR2.PNG
8, 32, 4, 2, 3, 53374446597, 203607, 331.592693329 - 284.907000065 * Output8_K32_MI_RPS_LR3.PNG
8, 64, 2, 1, 1, 26669225665, 101735, 224.833797455 - 425.227999926 * Output8_K64_RI_LPS_LR1.PNG
8, 64, 2, 1, 2, 41073502084, 156682, 279.534889221 - 434.301000118 * Output8_K64_RI_LPS_LR2.PNG
8, 64, 2, 1, 3, 333294512796, 1271417, 754.95426178 - 438.758000135 * Output8_K64_RI_LPS_LR3.PNG
8, 64, 2, 2, 1, 15008738467, 57253, 172.282627106 - 454.913000107 * Output8_K64_RI_RPS_LR1.PNG
8, 64, 2, 2, 2, 20647822571, 78765, 191.65795517 - 469.364000082 * Output8_K64_RI_RPS_LR2.PNG
8, 64, 2, 2, 3, 27169222560, 103642, 227.133491516 - 471.763999939 * Output8_K64_RI_RPS_LR3.PNG
8, 64, 3, 1, 1, 129256740274, 493075, 429.284797668 - 388.131000042 * Output8_K64_MCCI_LPS_LR1.PNG
8, 64, 3, 1, 2, 34047755041, 129881, 226.939189911 - 411.356999874 * Output8_K64_MCCI_LPS_LR2.PNG
8, 64, 3, 1, 3, 127868362596, 487779, 445.140686035 - 410.654999971 * Output8_K64_MCCI_LPS_LR3.PNG
8, 64, 3, 2, 1, 133928395284, 510896, 416.480155945 - 439.429000139 * Output8_K64_MCCI_RPS_LR1.PNG
8, 64, 3, 2, 2, 11343150313, 43270, 134.111721039 - 439.43900013 * Output8_K64_MCCI_RPS_LR2.PNG
8, 64, 3, 2, 3, 17450118215, 66566, 182.887805939 - 458.226000071 * Output8_K64_MCCI_RPS_LR3.PNG
8, 64, 4, 1, 1, 11501721706, 43875, 147.358276367 - 459.675000191 * Output8_K64_MI_LPS_LR1.PNG
8, 64, 4, 1, 2, 33384241634, 127350, 248.274383545 - 464.105999947 * Output8_K64_MI_LPS_LR2.PNG
8, 64, 4, 1, 3, 145927247925, 556668, 508.859874725 - 480.347999811 * Output8_K64_MI_LPS_LR3.PNG
8, 64, 4, 2, 1, 11655095563, 44460, 148.296649933 - 508.513000011 * Output8_K64_MI_RPS_LR1.PNG
8, 64, 4, 2, 2, 11984155615, 45715, 144.365406036 - 501.100000143 * Output8_K64_MI_RPS_LR2.PNG
8, 64, 4, 2, 3, 18291186224, 69775, 188.750007629 - 513.964999914 * Output8_K64_MI_RPS_LR3.PNG
8, 128, 2, 1, 1, 10453741851, 39877, 144.455760956 - 788.718000174 * Output8_K128_RI_LPS_LR1.PNG
8, 128, 2, 1, 2, 18302103062, 69816, 184.688011169 - 792.273000002 * Output8_K128_RI_LPS_LR2.PNG
8, 128, 2, 1, 3, 98981071158, 377582, 414.694869995 - 815.796000004 * Output8_K128_RI_LPS_LR3.PNG
8, 128, 2, 2, 1, 8126411110, 30999, 124.171630859 - 873.395999908 * Output8_K128_RI_RPS_LR1.PNG
8, 128, 2, 2, 2, 8029641172, 30630, 114.792282104 - 881.325000048 * Output8_K128_RI_RPS_LR2.PNG
8, 128, 2, 2, 3, 10160974124, 38761, 137.433631897 - 876.312000036 * Output8_K128_RI_RPS_LR3.PNG
8, 128, 3, 1, 1, 43537203891, 166081, 249.773021698 - 771.774000168 * Output8_K128_MCCI_LPS_LR1.PNG
8, 128, 3, 1, 2, 10261752610, 39145, 120.890083313 - 764.147000074 * Output8_K128_MCCI_LPS_LR2.PNG
8, 128, 3, 1, 3, 45803035854, 174724, 222.873626709 - 774.131000042 * Output8_K128_MCCI_LPS_LR3.PNG
8, 128, 3, 2, 1, 43233592254, 164923, 243.32913208 - 796.017999887 * Output8_K128_MCCI_RPS_LR1.PNG
8, 128, 3, 2, 2, 5240547460, 19991, 85.7064743042 - 809.338999987 * Output8_K128_MCCI_RPS_LR2.PNG
8, 128, 3, 2, 3, 6154503284, 23477, 110.788131714 - 846.447999954 * Output8_K128_MCCI_RPS_LR3.PNG
8, 128, 4, 1, 1, 4483431500, 17102, 91.4888534546 - 963.605000019 * Output8_K128_MI_LPS_LR1.PNG
8, 128, 4, 1, 2, 10330048538, 39406, 132.610824585 - 946.217000008 * Output8_K128_MI_LPS_LR2.PNG
8, 128, 4, 1, 3, 29257650800, 111609, 239.34059906 - 978.164000034 * Output8_K128_MI_LPS_LR3.PNG
8, 128, 4, 2, 1, 4528299858, 17274, 91.1749267578 - 994.953000069 * Output8_K128_MI_RPS_LR1.PNG
8, 128, 4, 2, 2, 4658377526, 17770, 88.8949356079 - 989.696999788 * Output8_K128_MI_RPS_LR2.PNG
8, 128, 4, 2, 3, 6311912455, 24078, 112.461536407 - 1003.53600001 * Output8_K128_MI_RPS_LR3.PNG
