Krizia Houston Buck - UCA Summer 2017 - Graduate Project - Dr. Emre Celebi 

Time Result(s) - Image, Clusters, Initialization, Presentation Style, Learning Rate, SSE, MSE, MAE: (in seconds) 
3, 8, 2, 1, 1, 455055370087, 1157265, 399.708366394 - 111.173000097 * Output3_K8_RI_LPS_LR1.PNG
3, 8, 2, 1, 2, 1037480176027, 2638448, 1167.04072825 - 115.845999956 * Output3_K8_RI_LPS_LR2.PNG
3, 8, 2, 1, 3, 1644549874735, 4182306, 1065.72901662 - 117.823999882 * Output3_K8_RI_LPS_LR3.PNG
3, 8, 2, 2, 1, 983851560969, 2502063, 879.184466044 - 137.217999935 * Output3_K8_RI_RPS_LR1.PNG
3, 8, 2, 2, 2, 1150899174762, 2926887, 960.171747843 - 139.058000088 * Output3_K8_RI_RPS_LR2.PNG
3, 8, 2, 2, 3, 383044401654, 974132, 601.489308675 - 146.311000109 * Output3_K8_RI_RPS_LR3.PNG
3, 8, 3, 1, 1, 355265313404, 903486, 347.294911702 - 112.065000057 * Output3_K8_MCCI_LPS_LR1.PNG
3, 8, 3, 1, 2, 884632468966, 2249736, 1076.81426493 - 115.562999964 * Output3_K8_MCCI_LPS_LR2.PNG
3, 8, 3, 1, 3, 2655295754787, 6752766, 1411.34627024 - 119.424000025 * Output3_K8_MCCI_LPS_LR3.PNG
3, 8, 3, 2, 1, 258029486072, 656202, 324.90103658 - 139.888000011 * Output3_K8_MCCI_RPS_LR1.PNG
3, 8, 3, 2, 2, 206822283619, 525976, 324.033419291 - 142.730000019 * Output3_K8_MCCI_RPS_LR2.PNG
3, 8, 3, 2, 3, 358827566312, 912545, 396.172093709 - 147.529999971 * Output3_K8_MCCI_RPS_LR3.PNG
3, 8, 4, 1, 1, 166811813671, 424224, 338.307390849 - 111.523000002 * Output3_K8_MI_LPS_LR1.PNG
3, 8, 4, 1, 2, 746308182525, 1897959, 991.430341085 - 117.152999878 * Output3_K8_MI_LPS_LR2.PNG
3, 8, 4, 1, 3, 2655295754787, 6752766, 1411.34627024 - 119.624000072 * Output3_K8_MI_LPS_LR3.PNG
3, 8, 4, 2, 1, 280220363673, 712637, 370.823977153 - 139.068000078 * Output3_K8_MI_RPS_LR1.PNG
3, 8, 4, 2, 2, 217193617556, 552351, 324.316370646 - 142.718999863 * Output3_K8_MI_RPS_LR2.PNG
3, 8, 4, 2, 3, 317938130180, 808558, 385.782145182 - 147.009000063 * Output3_K8_MI_RPS_LR3.PNG
3, 16, 2, 1, 1, 194943430262, 495766, 319.198247274 - 174.266000032 * Output3_K16_RI_LPS_LR1.PNG
3, 16, 2, 1, 2, 529989330233, 1347832, 811.966133118 - 178.355999947 * Output3_K16_RI_LPS_LR2.PNG
3, 16, 2, 1, 3, 1167169463342, 2968265, 892.542755127 - 183.468999863 * Output3_K16_RI_LPS_LR3.PNG
3, 16, 2, 2, 1, 221287765587, 562763, 296.642199198 - 202.90199995 * Output3_K16_RI_RPS_LR1.PNG
3, 16, 2, 2, 2, 276213283143, 702446, 370.94073232 - 204.921000004 * Output3_K16_RI_RPS_LR2.PNG
3, 16, 2, 2, 3, 112802664237, 286872, 344.069969177 - 210.852999926 * Output3_K16_RI_RPS_LR3.PNG
3, 16, 3, 1, 1, 124775415608, 317320, 187.795700073 - 175.319999933 * Output3_K16_MCCI_LPS_LR1.PNG
3, 16, 3, 1, 2, 103058584031, 262091, 273.159665426 - 178.679000139 * Output3_K16_MCCI_LPS_LR2.PNG
3, 16, 3, 1, 3, 452713563007, 1151310, 573.589566549 - 182.907000065 * Output3_K16_MCCI_LPS_LR3.PNG
3, 16, 3, 2, 1, 121847916014, 309875, 183.848251343 - 203.881999969 * Output3_K16_MCCI_RPS_LR1.PNG
3, 16, 3, 2, 2, 55020674417, 139924, 140.386843363 - 206.61500001 * Output3_K16_MCCI_RPS_LR2.PNG
3, 16, 3, 2, 3, 77445655926, 196954, 282.844385783 - 210.842000008 * Output3_K16_MCCI_RPS_LR3.PNG
3, 16, 4, 1, 1, 42482740398, 108039, 153.882644653 - 176.625999928 * Output3_K16_MI_LPS_LR1.PNG
3, 16, 4, 1, 2, 153534988337, 390459, 408.729601542 - 183.544999838 * Output3_K16_MI_LPS_LR2.PNG
3, 16, 4, 1, 3, 452713563007, 1151310, 573.589566549 - 183.866999865 * Output3_K16_MI_LPS_LR3.PNG
3, 16, 4, 2, 1, 50273420383, 127851, 174.626411438 - 202.430000067 * Output3_K16_MI_RPS_LR1.PNG
3, 16, 4, 2, 2, 44069899606, 112075, 169.494344076 - 205.383000135 * Output3_K16_MI_RPS_LR2.PNG
3, 16, 4, 2, 3, 56140903698, 142773, 205.322128296 - 210.507999897 * Output3_K16_MI_RPS_LR3.PNG
3, 32, 2, 1, 1, 33094970595, 84164, 161.499371847 - 307.752000093 * Output3_K32_RI_LPS_LR1.PNG
3, 32, 2, 1, 2, 84249444808, 214257, 241.042678833 - 322.825999975 * Output3_K32_RI_LPS_LR2.PNG
3, 32, 2, 1, 3, 427236396663, 1086518, 564.45055898 - 325.835000038 * Output3_K32_RI_LPS_LR3.PNG
3, 32, 2, 2, 1, 110724040551, 281585, 242.692476908 - 386.559999943 * Output3_K32_RI_RPS_LR1.PNG
3, 32, 2, 2, 2, 44883725973, 114145, 173.82644399 - 398.769999981 * Output3_K32_RI_RPS_LR2.PNG
3, 32, 2, 2, 3, 37955317104, 96525, 168.950586955 - 406.353000164 * Output3_K32_RI_RPS_LR3.PNG
3, 32, 3, 1, 1, 92226825647, 234544, 160.698661804 - 311.752000093 * Output3_K32_MCCI_LPS_LR1.PNG
3, 32, 3, 1, 2, 36494822553, 92811, 148.792732239 - 324.52699995 * Output3_K32_MCCI_LPS_LR2.PNG
3, 32, 3, 1, 3, 102453184193, 260551, 301.201001485 - 328.767000198 * Output3_K32_MCCI_LPS_LR3.PNG
3, 32, 3, 2, 1, 88279343024, 224505, 139.416549683 - 370.927999973 * Output3_K32_MCCI_RPS_LR1.PNG
3, 32, 3, 2, 2, 13371059246, 34004, 69.3554382324 - 376.865999937 * Output3_K32_MCCI_RPS_LR2.PNG
3, 32, 3, 2, 3, 16436838584, 41801, 111.450897217 - 387.638999939 * Output3_K32_MCCI_RPS_LR3.PNG
3, 32, 4, 1, 1, 10484649068, 26663, 85.569056193 - 321.333999872 * Output3_K32_MI_LPS_LR1.PNG
3, 32, 4, 1, 2, 37839809801, 96231, 150.932609558 - 311.462999821 * Output3_K32_MI_LPS_LR2.PNG
3, 32, 4, 1, 3, 102453184193, 260551, 301.201001485 - 325.755000114 * Output3_K32_MI_LPS_LR3.PNG
3, 32, 4, 2, 1, 9301981487, 23656, 83.3298670451 - 379.960000038 * Output3_K32_MI_RPS_LR1.PNG
3, 32, 4, 2, 2, 9787330039, 24890, 74.1581853231 - 372.876000166 * Output3_K32_MI_RPS_LR2.PNG
3, 32, 4, 2, 3, 16411957148, 41737, 105.788920085 - 390.81400013 * Output3_K32_MI_RPS_LR3.PNG
